time	V(input)	V(nc_01)
4.426862500149531e-03	8.870654e-03	4.083667e+00
4.446393750149531e-03	6.609711e-03	4.145025e+00
4.465925000149530e-03	4.249352e-03	4.205259e+00
4.485456250149530e-03	1.825079e-03	4.263497e+00
4.504987500149530e-03	-6.266452e-04	4.318899e+00
4.524518750149529e-03	-3.068944e-03	4.370674e+00
4.544050000149529e-03	-5.465083e-03	4.418085e+00
4.563581250149528e-03	-7.779022e-03	4.460460e+00
4.583112500149528e-03	-9.975958e-03	4.497198e+00
4.602643750149528e-03	-1.202285e-02	4.527777e+00
4.622175000149527e-03	-1.388890e-02	4.551756e+00
4.641706250149527e-03	-1.554605e-02	4.568786e+00
4.661237500149526e-03	-1.696937e-02	4.578604e+00
4.680768750149526e-03	-1.813746e-02	4.581050e+00
4.700300000149525e-03	-1.903275e-02	4.576060e+00
4.719831250149525e-03	-1.964176e-02	4.563672e+00
4.739362500149525e-03	-1.995534e-02	4.544029e+00
4.758893750149524e-03	-1.996878e-02	4.517380e+00
4.768659375149524e-03	-1.986270e-02	4.501534e+00
4.788190625149524e-03	-1.942695e-02	4.465069e+00
4.807721875149523e-03	-1.869901e-02	4.422672e+00
4.827253125149523e-03	-1.768981e-02	4.374947e+00
4.846784375149522e-03	-1.641454e-02	4.322588e+00
4.866315625149522e-03	-1.489238e-02	4.266369e+00
4.885846875149522e-03	-1.314622e-02	4.207134e+00
4.905378125149521e-03	-1.120234e-02	4.145785e+00
4.924909375149521e-03	-9.089955e-03	4.083265e+00
4.944440625149520e-03	-6.840854e-03	4.020542e+00
4.963971875149520e-03	-4.488859e-03	3.958594e+00
4.983503125149519e-03	-2.069348e-03	3.898391e+00
5.003034375149519e-03	3.812877e-04	3.840878e+00
5.022565625149519e-03	2.826189e-03	3.786958e+00
5.042096875149518e-03	5.228581e-03	3.737477e+00
5.061628125149518e-03	7.552331e-03	3.693210e+00
5.081159375149517e-03	9.762487e-03	3.654846e+00
5.100690625149517e-03	1.182581e-02	3.622978e+00
5.120221875149517e-03	1.371125e-02	3.598096e+00
5.139753125149516e-03	1.539047e-02	3.580574e+00
5.159284375149516e-03	1.683820e-02	3.570669e+00
5.178815625149515e-03	1.803267e-02	3.568516e+00
5.198346875149515e-03	1.895591e-02	3.574127e+00
5.217878125149514e-03	1.959404e-02	3.587390e+00
5.237409375149514e-03	1.993745e-02	3.608077e+00
5.256940625149514e-03	1.998099e-02	3.635843e+00
5.266706250149513e-03	1.988992e-02	3.652243e+00
5.286237500149513e-03	1.948382e-02	3.689749e+00
5.305768750149513e-03	1.878467e-02	3.733021e+00
5.325300000149512e-03	1.780298e-02	3.781378e+00
5.344831250149512e-03	1.655352e-02	3.834068e+00
5.364362500149511e-03	1.505508e-02	3.890279e+00
5.383893750149511e-03	1.333019e-02	3.949154e+00
5.403425000149511e-03	1.140481e-02	4.009805e+00
5.422956250149510e-03	9.307888e-03	4.071322e+00
5.442487500149510e-03	7.070966e-03	4.132798e+00
5.462018750149509e-03	4.727690e-03	4.193328e+00
5.481550000149509e-03	2.313306e-03	4.252033e+00
5.501081250149508e-03	-1.358729e-04	4.308067e+00
5.520612500149508e-03	-2.583008e-03	4.360628e+00
5.540143750149508e-03	-4.991292e-03	4.408968e+00
5.559675000149507e-03	-7.324503e-03	4.452401e+00
5.579206250149507e-03	-9.547547e-03	4.490311e+00
5.598737500149506e-03	-1.162699e-02	4.522160e+00
5.618268750149506e-03	-1.353154e-02	4.547490e+00
5.637800000149506e-03	-1.523258e-02	4.565933e+00
5.657331250149505e-03	-1.670450e-02	4.577209e+00
5.676862500149505e-03	-1.792516e-02	4.581139e+00
5.696393750149504e-03	-1.887622e-02	4.577636e+00
5.715925000149504e-03	-1.954336e-02	4.566719e+00
5.735456250149503e-03	-1.991655e-02	4.548511e+00
5.754987500149503e-03	-1.999018e-02	4.523238e+00
5.764753125149503e-03	-1.991414e-02	4.508052e+00
5.784284375149502e-03	-1.953775e-02	4.472836e+00
5.803815625149502e-03	-1.886751e-02	4.431581e+00
5.823346875149502e-03	-1.791348e-02	4.384869e+00
5.842878125149501e-03	-1.669001e-02	4.333377e+00
5.862409375149501e-03	-1.521551e-02	4.277865e+00
5.881940625149500e-03	-1.351216e-02	4.219163e+00
5.901471875149500e-03	-1.160557e-02	4.158163e+00
5.921003125149499e-03	-9.524419e-03	4.095799e+00
5.940534375149499e-03	-7.300014e-03	4.033039e+00
5.960065625149499e-03	-4.965810e-03	3.970857e+00
5.979596875149498e-03	-2.556915e-03	3.910229e+00
5.999128125149498e-03	-1.095625e-04	3.852104e+00
6.018659375149497e-03	2.339438e-03	3.797396e+00
6.038190625149497e-03	4.753252e-03	3.746963e+00
6.057721875149497e-03	7.095572e-03	3.701594e+00
6.077253125149496e-03	9.331168e-03	3.661999e+00
6.096784375149496e-03	1.142641e-02	3.628790e+00
6.116315625149495e-03	1.334980e-02	3.602477e+00
6.135846875149495e-03	1.507239e-02	3.583458e+00
6.155378125149494e-03	1.656827e-02	3.572016e+00
6.174909375149494e-03	1.781496e-02	3.568307e+00
6.194440625149494e-03	1.879369e-02	3.572370e+00
6.213971875149493e-03	1.948974e-02	3.584118e+00
6.233503125149493e-03	1.989266e-02	3.603344e+00
6.253034375149492e-03	1.999637e-02	3.629727e+00
6.262800000149492e-03	1.993535e-02	3.645472e+00
6.272565625149492e-03	1.979931e-02	3.662836e+00
